,shot#,time,Ip,Bt,a,R,tria,elon,Wmcc,fname
155,42708.0,0.2039,0.359,0.91,23.1,35.8,0.37,1.7,13133.0,Profiles_export_2/shot42708_t204.txt
156,42708.0,0.207,0.359,0.91,23.0,35.7,0.37,1.7,12807.0,Profiles_export_2/shot42708_t207.txt
157,42708.0,0.1976,0.358,0.91,23.2,35.9,0.37,1.7,12954.0,Profiles_export_2/shot42708_t198.txt
158,42708.0,0.2007,0.358,0.91,23.1,35.8,0.38,1.7,13002.0,Profiles_export_2/shot42708_t201.txt
159,42708.0,0.2039,0.358,0.91,23.1,35.8,0.37,1.7,13133.0,Profiles_export_2/shot42708_t204.txt
160,42709.0,0.19140000000000001,0.359,0.91,23.1,35.8,0.37,1.7,12701.0,Profiles_export_2/shot42709_t191.txt
161,42709.0,0.1945,0.359,0.91,23.1,35.9,0.38,1.7,12818.0,Profiles_export_2/shot42709_t194.txt
162,42709.0,0.1976,0.359,0.91,23.1,35.9,0.37,1.7,13169.0,Profiles_export_2/shot42709_t198.txt
163,42709.0,0.2007,0.359,0.91,23.1,35.8,0.38,1.8,13222.0,Profiles_export_2/shot42709_t201.txt
164,42709.0,0.2039,0.359,0.91,23.0,35.8,0.38,1.8,13160.0,Profiles_export_2/shot42709_t204.txt
165,42709.0,0.207,0.359,0.91,23.1,35.7,0.38,1.7,13108.0,Profiles_export_2/shot42709_t207.txt
166,42094.0,0.19140000000000001,0.356,0.91,23.5,36.6,0.39,1.7,13008.0,Profiles_export_2/shot42094_t191.txt
167,42094.0,0.1945,0.356,0.91,23.7,36.6,0.38,1.7,13480.0,Profiles_export_2/shot42094_t194.txt
168,42094.0,0.1976,0.356,0.91,23.5,36.5,0.37,1.7,13984.0,Profiles_export_2/shot42094_t198.txt
169,42094.0,0.21009999999999998,0.359,0.91,23.5,36.5,0.39,1.8,13594.0,Profiles_export_2/shot42094_t210.txt
170,42094.0,0.2132,0.359,0.91,23.5,36.5,0.38,1.8,13472.0,Profiles_export_2/shot42094_t213.txt
171,42094.0,0.2164,0.359,0.91,23.4,36.5,0.38,1.7,13361.0,Profiles_export_2/shot42094_t216.txt
172,42094.0,0.2195,0.359,0.91,23.4,36.5,0.38,1.7,13576.0,Profiles_export_2/shot42094_t220.txt
173,42153.0,0.19140000000000001,0.347,0.82,23.5,36.3,0.35,1.8,8165.0,Profiles_export_2/shot42153_t191.txt
174,42153.0,0.1945,0.347,0.82,23.5,36.3,0.37,1.8,8241.0,Profiles_export_2/shot42153_t194.txt
175,42153.0,0.1976,0.347,0.82,23.4,36.3,0.35,1.8,8040.0,Profiles_export_2/shot42153_t198.txt
176,42153.0,0.2007,0.345,0.82,23.4,36.4,0.35,1.8,7953.0,Profiles_export_2/shot42153_t201.txt
177,42153.0,0.2039,0.345,0.82,23.3,36.5,0.34,1.8,7816.0,Profiles_export_2/shot42153_t204.txt
178,42153.0,0.207,0.345,0.82,23.3,36.4,0.34,1.8,7980.0,Profiles_export_2/shot42153_t207.txt
179,42153.0,0.21009999999999998,0.345,0.82,23.2,36.4,0.34,1.8,7876.0,Profiles_export_2/shot42153_t210.txt
180,42153.0,0.21330000000000002,0.345,0.82,23.2,36.4,0.35,1.8,7703.0,Profiles_export_2/shot42153_t213.txt
181,42153.0,0.2164,0.345,0.82,23.1,36.6,0.33,1.8,7572.0,Profiles_export_2/shot42153_t216.txt
182,42155.0,0.2007,0.331,0.82,22.6,36.8,0.33,1.8,7686.0,Profiles_export_2/shot42155_t201.txt
183,42155.0,0.2039,0.331,0.82,22.4,36.8,0.32,1.8,7909.0,Profiles_export_2/shot42155_t204.txt
184,42155.0,0.207,0.331,0.82,22.4,36.8,0.32,1.8,7774.0,Profiles_export_2/shot42155_t207.txt
185,42155.0,0.21009999999999998,0.331,0.82,22.2,36.8,0.33,1.8,7574.0,Profiles_export_2/shot42155_t210.txt
186,42155.0,0.2132,0.331,0.82,22.2,36.8,0.32,1.8,7263.0,Profiles_export_2/shot42155_t213.txt
